"","End.Date","State","YearQuarter","YearMonth","Latino","Indigenous","Asian","Black","Pacific Islander","White","More than one race"
"89",2022-03-31,"Delaware","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",122.58184140588,NA,71.1254997179506,287.750695359391,NA,348.530942079136,NA
"90",2020-06-30,"District of Columbia","2020, Quarter 2","6/2020",114.652037231092,NA,31.8867383055387,150.74122436439,0,26.7647047890235,NA
"91",2020-09-30,"District of Columbia","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",136.842754114529,NA,38.2640859666465,173.46442379087,0,32.3406849534034,NA
"92",2020-12-31,"District of Columbia","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",184.922640695309,NA,54.2074551194158,219.550912768518,0,48.3251614246258,NA
"93",2021-03-31,"District of Columbia","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",241.632250508537,NA,89.2828672555084,305.002944414574,0,66.1682979506414,NA
"94",2021-06-30,"District of Columbia","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",251.49479134562,NA,92.4715410860623,334.447090150293,0,70.6290820821453,NA
"95",2021-09-30,"District of Columbia","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",255.193244159527,NA,108.414910238832,359.090559950841,0,76.5767942574839,NA
"96",2021-12-31,"District of Columbia","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",263.822967391974,NA,108.414910238832,388.854750748905,0,82.8962384437811,NA
"97",2022-03-31,"District of Columbia","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",281.08241385687,NA,140.30164854437,454.463988529585,0,95.5351268163755,NA
"98",2020-06-30,"Florida","2020, Quarter 2","6/2020",17.9486470424647,NA,8.45049762269963,23.8426891947006,NA,15.6589328359238,NA
"99",2020-09-30,"Florida","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",76.0208684327648,36.6884963219782,33.6425471394268,93.4455706947582,NA,66.7282099143241,NA
"100",2020-12-31,"Florida","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",100.317631919512,55.0327444829674,47.992448762879,117.614060611374,NA,101.245492095837,NA
"101",2021-03-31,"Florida","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",139.971619571469,84.38354154055,73.3439416309779,160.678992399069,77.0847932725999,154.100893296165,NA
"102",2021-06-30,"Florida","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",157.015877421872,95.3900904371434,84.3455328756246,180.908255405256,84.0925017519271,170.661558698498,NA
