"","End.Date","State","Race.Ethnicity","Number of COVID-19 Deaths","Population","Crude Rate","age_adjusted_rate_direct","age_adjusted_rate_indirect","Direct_Available","Age-Adjusted Rate"
"145","04/30/2022","Minnesota","White"," 10,917",4444391,246,207.806902483915,213.077966886527,TRUE,208
"146","04/30/2022","Minnesota","Black","    639",395983,161,NA,397.607284156549,FALSE,398
"147","04/30/2022","Minnesota","Indigenous","    237",59551,398,NA,686.313218964171,FALSE,686
"148","04/30/2022","Minnesota","Asian","    495",296865,167,NA,357.179000226111,FALSE,357
"149","04/30/2022","Minnesota","Pacific Islander","     NA",3198,NA,NA,NA,FALSE,NA
"150","04/30/2022","Minnesota","Latino","    373",321686,116,NA,346.656646617232,FALSE,347
"151","04/30/2022","Mississippi","White","  7,800",1669388,467,400.926338447706,404.257286198902,TRUE,401
"152","04/30/2022","Mississippi","Black","  4,971",1112488,447,590.135882525129,616.552834270597,TRUE,590
"153","04/30/2022","Mississippi","Indigenous","    144",14879,968,NA,NA,FALSE,NA
"154","04/30/2022","Mississippi","Asian","     61",32227,189,NA,NA,FALSE,NA
"155","04/30/2022","Mississippi","Pacific Islander","     NA",1113,NA,NA,NA,FALSE,NA
"156","04/30/2022","Mississippi","Latino","    156",99990,156,NA,NA,FALSE,NA
"157","04/30/2022","Missouri","White"," 17,195",4857072,354,309.976140809883,313.266574017948,TRUE,310
"158","04/30/2022","Missouri","Black","  2,432",710312,342,451.053959814978,461.158390464183,TRUE,451
"159","04/30/2022","Missouri","Indigenous","     94",26636,353,NA,NA,FALSE,NA
"160","04/30/2022","Missouri","Asian","    165",133903,123,NA,NA,FALSE,NA
"161","04/30/2022","Missouri","Pacific Islander","     42",8702,483,NA,NA,FALSE,NA
"162","04/30/2022","Missouri","Latino","    476",276072,172,NA,401.395272444501,FALSE,401
"163","04/30/2022","Montana","White","  2,919",925921,315,NA,269.985470777397,FALSE,270
"164","04/30/2022","Montana","Black","     17",5829,292,NA,NA,FALSE,NA
"165","04/30/2022","Montana","Indigenous","    433",64964,667,NA,1201.30190548096,FALSE,1201
"166","04/30/2022","Montana","Asian","     22",10324,213,NA,NA,FALSE,NA
"167","04/30/2022","Montana","Pacific Islander","     NA",780,NA,NA,NA,FALSE,NA
"168","04/30/2022","Montana","Latino","     96",44960,214,NA,NA,FALSE,NA
"169","04/30/2022","Nebraska","White","  4,330",1507779,287,249.917398489724,254.214448949804,TRUE,250
"170","04/30/2022","Nebraska","Black","    193",95922,201,NA,NA,FALSE,NA
"171","04/30/2022","Nebraska","Indigenous","     48",16176,297,NA,NA,FALSE,NA
"172","04/30/2022","Nebraska","Asian","     37",51787,71,NA,NA,FALSE,NA
"173","04/30/2022","Nebraska","Pacific Islander","     NA",1275,NA,NA,NA,FALSE,NA
"174","04/30/2022","Nebraska","Latino","    308",225592,137,NA,398.238825261801,FALSE,398
"175","04/30/2022","Nevada","White","  6,102",1487234,410,318.721887654534,323.011847694741,TRUE,319
"176","04/30/2022","Nevada","Black","  1,125",296009,380,NA,552.806400158868,FALSE,553
"177","04/30/2022","Nevada","Indigenous","    137",26253,522,NA,NA,FALSE,NA
"178","04/30/2022","Nevada","Asian","  1,024",266907,384,NA,370.850913780431,FALSE,371
"179","04/30/2022","Nevada","Pacific Islander","    148",21238,697,NA,NA,FALSE,NA
"180","04/30/2022","Nevada","Latino","  2,350",924674,254,518.126250044,546.303054218422,TRUE,518
"181","04/30/2022","New Hampshire","White","  2,351",1221827,192,NA,164.374947328503,FALSE,164
"182","04/30/2022","New Hampshire","Black","     22",20607,107,NA,NA,FALSE,NA
"183","04/30/2022","New Hampshire","Indigenous","     NA",2910,NA,NA,NA,FALSE,NA
"184","04/30/2022","New Hampshire","Asian","     22",41168,53,NA,NA,FALSE,NA
"185","04/30/2022","New Hampshire","Pacific Islander","      0",397,0,0,NA,TRUE,0
"186","04/30/2022","New Hampshire","Latino","     55",57467,96,NA,NA,FALSE,NA
"187","04/30/2022","New Jersey","White"," 18,727",4803376,390,288.001704025714,299.27633896606,TRUE,288
"188","04/30/2022","New Jersey","Black","  5,343",1152893,463,556.923571234642,564.32021907718,TRUE,557
"189","04/30/2022","New Jersey","Indigenous","     22",13622,162,NA,NA,FALSE,NA
"190","04/30/2022","New Jersey","Asian","  1,716",891126,193,NA,248.332261362488,FALSE,248
"191","04/30/2022","New Jersey","Pacific Islander","     NA",3285,NA,NA,NA,FALSE,NA
"192","04/30/2022","New Jersey","Latino","  5,984",1874656,319,531.844098995961,536.047621400934,TRUE,532
"193","04/30/2022","New Mexico","White","  2,482",767069,324,NA,213.094755536704,FALSE,213
"194","04/30/2022","New Mexico","Black","    105",40514,259,NA,NA,FALSE,NA
"195","04/30/2022","New Mexico","Indigenous","  1,735",183732,944,1217.52516616576,1318.84953833057,TRUE,1218
"196","04/30/2022","New Mexico","Asian","     48",34160,141,NA,NA,FALSE,NA
"197","04/30/2022","New Mexico","Pacific Islander","     NA",1385,NA,NA,NA,FALSE,NA
"198","04/30/2022","New Mexico","Latino","  3,309",1046092,316,413.612037961134,427.337646861109,TRUE,414
"199","04/30/2022","New York","White"," 37,300",10641569,351,268.301523394564,279.245714455511,TRUE,268
"200","04/30/2022","New York","Black"," 13,686",2786323,491,544.834090739335,547.757212126327,TRUE,545
"201","04/30/2022","New York","Indigenous","    110",57742,191,NA,NA,FALSE,NA
"202","04/30/2022","New York","Asian","  4,842",1741539,278,NA,327.532513137355,FALSE,328
"203","04/30/2022","New York","Pacific Islander","      0",9222,0,NA,NA,FALSE,NA
"204","04/30/2022","New York","Latino"," 13,602",3738921,364,531.738685171657,534.259033748459,TRUE,532
"205","04/30/2022","North Carolina","White"," 19,797",6604606,300,253.113550363432,255.237278332762,TRUE,253
"206","04/30/2022","North Carolina","Black","  6,520",2259862,289,354.309350714037,361.290804360303,TRUE,354
"207","04/30/2022","North Carolina","Indigenous","    391",116697,335,NA,409.227830169507,FALSE,409
"208","04/30/2022","North Carolina","Asian","    298",341234,87,NA,156.379531868606,FALSE,156
"209","04/30/2022","North Carolina","Pacific Islander","     18",7247,248,NA,NA,FALSE,NA
"210","04/30/2022","North Carolina","Latino","  1,266",1052435,120,320.313840015621,349.923913065583,TRUE,320
"211","04/30/2022","North Dakota","White","  2,395",637699,376,NA,341.790540410201,FALSE,342
"212","04/30/2022","North Dakota","Black","     20",25354,79,NA,NA,FALSE,NA
"213","04/30/2022","North Dakota","Indigenous","    252",39383,640,NA,1386.37483046109,FALSE,1386
"214","04/30/2022","North Dakota","Asian","     NA",12689,NA,NA,NA,FALSE,NA
"215","04/30/2022","North Dakota","Pacific Islander","      0",548,0,0,NA,TRUE,0
"216","04/30/2022","North Dakota","Latino","     59",33257,177,NA,NA,FALSE,NA
"217","04/30/2022","Ohio","White"," 36,887",9124042,404,349.882488772185,354.48679073733,TRUE,350
"218","04/30/2022","Ohio","Black","  5,283",1488401,355,452.502062668766,458.71147939776,TRUE,453
"219","04/30/2022","Ohio","Indigenous","     32",22626,141,NA,NA,FALSE,NA
"220","04/30/2022","Ohio","Asian","    326",300068,109,NA,181.933903798711,FALSE,182
"221","04/30/2022","Ohio","Pacific Islander","     NA",5235,NA,NA,NA,FALSE,NA
"222","04/30/2022","Ohio","Latino","    777",488084,159,NA,363.913533179482,FALSE,364
"223","04/30/2022","Oklahoma","White"," 11,712",2564384,457,385.964424873741,389.123712233086,TRUE,386
"224","04/30/2022","Oklahoma","Black","  1,114",294232,379,NA,554.482549240542,FALSE,554
"225","04/30/2022","Oklahoma","Indigenous","  1,559",337194,462,668.17362621274,707.977270068907,TRUE,668
"226","04/30/2022","Oklahoma","Asian","    180",92837,194,NA,NA,FALSE,NA
"227","04/30/2022","Oklahoma","Pacific Islander","     39",7588,514,NA,NA,FALSE,NA
"228","04/30/2022","Oklahoma","Latino","    947",452487,209,577.066149025694,611.965915148183,TRUE,577
"229","04/30/2022","Oregon","White","  5,979",3166992,189,NA,156.75474703003,FALSE,157
"230","04/30/2022","Oregon","Black","    137",83191,165,NA,NA,FALSE,NA
"231","04/30/2022","Oregon","Indigenous","    150",46347,324,NA,NA,FALSE,NA
"232","04/30/2022","Oregon","Asian","    175",201861,87,NA,NA,FALSE,NA
"233","04/30/2022","Oregon","Pacific Islander","     48",17701,271,NA,NA,FALSE,NA
"234","04/30/2022","Oregon","Latino","    604",579836,104,259.570214046099,277.715584628812,TRUE,260
"235","04/30/2022","Pennsylvania","White"," 38,263",9624260,398,302.582977643461,311.025727953659,TRUE,303
"236","04/30/2022","Pennsylvania","Black","  5,116",1391696,368,468.403013669476,472.101438630995,TRUE,468
"237","04/30/2022","Pennsylvania","Indigenous","     33",18735,176,NA,NA,FALSE,NA
"238","04/30/2022","Pennsylvania","Asian","    734",482931,152,NA,231.478037928025,FALSE,231
"239","04/30/2022","Pennsylvania","Pacific Islander","     NA",4043,NA,NA,NA,FALSE,NA
"240","04/30/2022","Pennsylvania","Latino","  1,780",1032627,172,405.863001221588,400.813975763375,TRUE,406
"241","04/30/2022","Rhode Island","White","  3,040",750093,405,293.25171205488,308.880740803085,TRUE,293
"242","04/30/2022","Rhode Island","Black","    159",64891,245,NA,NA,FALSE,NA
"243","04/30/2022","Rhode Island","Indigenous","     15",4459,336,NA,NA,FALSE,NA
"244","04/30/2022","Rhode Island","Asian","     80",37259,215,NA,NA,FALSE,NA
"245","04/30/2022","Rhode Island","Pacific Islander","     NA",674,NA,NA,NA,FALSE,NA
"246","04/30/2022","Rhode Island","Latino","    285",176471,161,NA,350.668154103104,FALSE,351
"247","04/30/2022","South Carolina","White"," 11,987",3315355,362,301.497028831368,303.64443615092,TRUE,301
"248","04/30/2022","South Carolina","Black","  5,209",1369111,380,450.616999068355,465.369922525251,TRUE,451
"249","04/30/2022","South Carolina","Indigenous","     54",19049,283,NA,NA,FALSE,NA
"250","04/30/2022","South Carolina","Asian","    125",95936,130,NA,NA,FALSE,NA
"251","04/30/2022","South Carolina","Pacific Islander","     NA",3070,NA,NA,NA,FALSE,NA
"252","04/30/2022","South Carolina","Latino","    461",320061,144,NA,368.464591041091,FALSE,368
"253","04/30/2022","South Dakota","White","  2,594",724153,358,NA,308.789286417407,FALSE,309
"254","04/30/2022","South Dakota","Black","     19",20466,93,NA,NA,FALSE,NA
"255","04/30/2022","South Dakota","Indigenous","    367",72996,503,NA,1109.33099997473,FALSE,1109
"256","04/30/2022","South Dakota","Asian","     27",14643,184,NA,NA,FALSE,NA
"257","04/30/2022","South Dakota","Pacific Islander","     NA",552,NA,NA,NA,FALSE,NA
"258","04/30/2022","South Dakota","Latino","     53",39604,134,NA,NA,FALSE,NA
"259","04/30/2022","Tennessee","White"," 20,882",5050700,413,370.647745385717,374.230046846667,TRUE,371
"260","04/30/2022","Tennessee","Black","  4,331",1147521,377,512.719782647676,540.617007310003,TRUE,513
"261","04/30/2022","Tennessee","Indigenous","     34",19503,174,NA,NA,FALSE,NA
"262","04/30/2022","Tennessee","Asian","    175",132295,132,NA,NA,FALSE,NA
